🕘️更新时间,#genre#
2026-03-15 18:45:50,http://localhost:8000/hls/6440703838588595427

📺央视频道,#genre#
CCTV-1,http://localhost:8000/hls/6440703838588595427
CCTV-1,http://localhost:8000/hls/-853513995251592269
CCTV-1,http://localhost:8000/hls/-7414163443030919386
CCTV-2,http://localhost:8000/hls/7599829057513354674
CCTV-2,http://localhost:8000/hls/-4057687330890189484
CCTV-2,http://localhost:8000/hls/-5793218245994097560
CCTV-2,http://localhost:8000/hls/7198839618741093551
CCTV-3,http://localhost:8000/hls/2586753721257974534
CCTV-3,http://localhost:8000/hls/-3589929790842558799
CCTV-3,http://localhost:8000/hls/-43171681950943922
CCTV-4,http://localhost:8000/hls/-1022790728714325823
CCTV-4,http://localhost:8000/hls/5514035347323504558
CCTV-4,http://localhost:8000/hls/-4477681338331137074
CCTV-4,http://localhost:8000/hls/-4897808892000788687
CCTV-4,http://localhost:8000/hls/-6882420672591776440
CCTV-4,http://localhost:8000/hls/-9142307280562553393
CCTV-5,http://localhost:8000/hls/-7237200012101658642
CCTV-5,http://localhost:8000/hls/-7200410516318766180
CCTV-5,http://localhost:8000/hls/-1014229003662592753
CCTV-5,http://localhost:8000/hls/-8870309530722187427
CCTV-5,http://localhost:8000/hls/7987710746632638724
CCTV-5+,http://localhost:8000/hls/-1673793412248645622
CCTV-5+,http://localhost:8000/hls/-2497797495450514100
CCTV-5+,http://localhost:8000/hls/-5074114314827441818
CCTV-6,http://localhost:8000/hls/-1026041516250054599
CCTV-6,http://localhost:8000/hls/-2757046868032198973
CCTV-6,http://localhost:8000/hls/-1757610196068924113
CCTV-7,http://localhost:8000/hls/-2504783956503062351
CCTV-7,http://localhost:8000/hls/-3346509502975129839
CCTV-7,http://localhost:8000/hls/3187688377087633525
CCTV-7,http://localhost:8000/hls/3427434260615405485
CCTV-8,http://localhost:8000/hls/4480545024809537046
CCTV-8,http://localhost:8000/hls/3056806896189052301
CCTV-8,http://localhost:8000/hls/-4843799897487815204
CCTV-8,http://localhost:8000/hls/1164251965980535508
CCTV-8,http://localhost:8000/hls/-7307744073562716223
CCTV-9,http://localhost:8000/hls/-2170093683469325743
CCTV-9,http://localhost:8000/hls/-5729149948515162168
CCTV-9,http://localhost:8000/hls/-6353785974004289785
CCTV-10,http://localhost:8000/hls/6711738241523059319
CCTV-10,http://localhost:8000/hls/-8404319031315533408
CCTV-10,http://localhost:8000/hls/5538919635487503908
CCTV-10,http://localhost:8000/hls/-2585587691072298887
CCTV-11,http://localhost:8000/hls/-3014567265138402095
CCTV-11,http://localhost:8000/hls/2216753829828711315
CCTV-11,http://localhost:8000/hls/5577855748153387747
CCTV-12,http://localhost:8000/hls/3065256178024694866
CCTV-12,http://localhost:8000/hls/-216662311608748914
CCTV-12,http://localhost:8000/hls/6444815497455130287
CCTV-12,http://localhost:8000/hls/-8623253164620887908
CCTV-13,http://localhost:8000/hls/-2178122154592643098
CCTV-13,http://localhost:8000/hls/-4408692741362982932
CCTV-13,http://localhost:8000/hls/-645842308825993587
CCTV-13,http://localhost:8000/hls/5247522781564624299
CCTV-13,http://localhost:8000/hls/-6488342371814066401
CCTV-13,http://localhost:8000/hls/-3609617178451925759
CCTV-13,http://localhost:8000/hls/1777633393177562686
CCTV-14,http://localhost:8000/hls/-4377482578557899201
CCTV-14,http://localhost:8000/hls/-6672118773392410966
CCTV-14,http://localhost:8000/hls/-5096803534852111138
CCTV-14,http://localhost:8000/hls/-8760573988131258175
CCTV-15,http://localhost:8000/hls/-3249349970519222880
CCTV-15,http://localhost:8000/hls/-7050272306925970940
CCTV-16,http://localhost:8000/hls/7131455486251924859
CCTV-16,http://localhost:8000/hls/2401726403677428354
CCTV-17,http://localhost:8000/hls/8008554008449786277
CCTV-17,http://localhost:8000/hls/3581620686504741895
CCTV-17,http://localhost:8000/hls/-7080850713034855158

💰央视付费频道,#genre#
风云音乐,http://localhost:8000/hls/3801280094259055473

📡卫视频道,#genre#
广东卫视,http://localhost:8000/hls/-8425768646463484413
广东卫视,http://localhost:8000/hls/1494137698443724720
广东卫视,http://localhost:8000/hls/8755899856696850371
广东卫视,http://localhost:8000/hls/-8178266092824680990
广东卫视,http://localhost:8000/hls/1663774027548367806
香港卫视,http://localhost:8000/hls/-8042878580472720101
浙江卫视,http://localhost:8000/hls/2142972966925199821
浙江卫视,http://localhost:8000/hls/5328861668497269139
浙江卫视,http://localhost:8000/hls/3195187053587507748
浙江卫视,http://localhost:8000/hls/-7586316889757170756
浙江卫视,http://localhost:8000/hls/5286443398591889853
湖南卫视,http://localhost:8000/hls/5320453809930531737
湖南卫视,http://localhost:8000/hls/1100463074766836272
湖南卫视,http://localhost:8000/hls/8440912599585510643
北京卫视,http://localhost:8000/hls/2110319239836585013
北京卫视,http://localhost:8000/hls/-387646799522785828
北京卫视,http://localhost:8000/hls/1833683632123198558
湖北卫视,http://localhost:8000/hls/920388742001968206
湖北卫视,http://localhost:8000/hls/8892059439258676041
湖北卫视,http://localhost:8000/hls/-404047689875888537
湖北卫视,http://localhost:8000/hls/5204466590267877928
湖北卫视,http://localhost:8000/hls/-8380289421230581063
黑龙江卫视,http://localhost:8000/hls/6611188389964604597
黑龙江卫视,http://localhost:8000/hls/-1853771250859680641
黑龙江卫视,http://localhost:8000/hls/-7249684673414725285
黑龙江卫视,http://localhost:8000/hls/-427511847443737487
安徽卫视,http://localhost:8000/hls/-3028150411264786123
安徽卫视,http://localhost:8000/hls/8470616677318882078
安徽卫视,http://localhost:8000/hls/-169387547973697016
重庆卫视,http://localhost:8000/hls/-3470049539640939602
重庆卫视,http://localhost:8000/hls/-4747955347110994870
重庆卫视,http://localhost:8000/hls/3198995167841336018
重庆卫视,http://localhost:8000/hls/-3754462633975626478
东方卫视,http://localhost:8000/hls/5281743841147036323
东方卫视,http://localhost:8000/hls/9150668872946575160
东方卫视,http://localhost:8000/hls/-2820044267172771797
东方卫视,http://localhost:8000/hls/6256731240740381315
东南卫视,http://localhost:8000/hls/725115022025267007
东南卫视,http://localhost:8000/hls/-3160680849890061405
东南卫视,http://localhost:8000/hls/6315903425150579953
东南卫视,http://localhost:8000/hls/-8562367677207099771
东南卫视,http://localhost:8000/hls/-1254286492186955439
甘肃卫视,http://localhost:8000/hls/725115022025267007
甘肃卫视,http://localhost:8000/hls/5466890209219924424
甘肃卫视,http://localhost:8000/hls/2498210050520095605
甘肃卫视,http://localhost:8000/hls/9127889302311678265
甘肃卫视,http://localhost:8000/hls/-4877062641976450450
广西卫视,http://localhost:8000/hls/907851350997776268
广西卫视,http://localhost:8000/hls/-1828804403384242951
广西卫视,http://localhost:8000/hls/5061216620645910663
广西卫视,http://localhost:8000/hls/-5922810251782625006
贵州卫视,http://localhost:8000/hls/-168100154444608217
贵州卫视,http://localhost:8000/hls/4838745562422469527
贵州卫视,http://localhost:8000/hls/-1862903126348277490
贵州卫视,http://localhost:8000/hls/-7217811175564053095
海南卫视,http://localhost:8000/hls/-7572517390941821225
海南卫视,http://localhost:8000/hls/1394671100153625028
海南卫视,http://localhost:8000/hls/-4583630243060301992
海南卫视,http://localhost:8000/hls/-8735959989489160233
海南卫视,http://localhost:8000/hls/1219060783025299474
河北卫视,http://localhost:8000/hls/2509035362802663424
河北卫视,http://localhost:8000/hls/4576475300707238601
河南卫视,http://localhost:8000/hls/7757604735466825130
河南卫视,http://localhost:8000/hls/8342467557785213500
河南卫视,http://localhost:8000/hls/4283405267483885519
河南卫视,http://localhost:8000/hls/-5990692616459447538
河南卫视,http://localhost:8000/hls/-7348994799255870344
河南卫视,http://localhost:8000/hls/-2315971527206926797
吉林卫视,http://localhost:8000/hls/8321682295595247567
吉林卫视,http://localhost:8000/hls/2464675655773089439
吉林卫视,http://localhost:8000/hls/472922122866392243
吉林卫视,http://localhost:8000/hls/-2673469970478783066
吉林卫视,http://localhost:8000/hls/3737203340256019965
江苏卫视,http://localhost:8000/hls/3759584087742002729
江苏卫视,http://localhost:8000/hls/-4986352542164777445
江苏卫视,http://localhost:8000/hls/-6964393266037832768
江苏卫视,http://localhost:8000/hls/5225390336725855906
江西卫视,http://localhost:8000/hls/9053269208647032726
江西卫视,http://localhost:8000/hls/2166358670171418732
江西卫视,http://localhost:8000/hls/-6217132277417852831
江西卫视,http://localhost:8000/hls/3793766156944778104
辽宁卫视,http://localhost:8000/hls/1574982654851501454
辽宁卫视,http://localhost:8000/hls/-6938784286454637628
辽宁卫视,http://localhost:8000/hls/-8675691857792167000
辽宁卫视,http://localhost:8000/hls/630633619256030323
内蒙古卫视,http://localhost:8000/hls/8689593002546334223
内蒙古卫视,http://localhost:8000/hls/1353506739406022300
内蒙古卫视,http://localhost:8000/hls/-992000209843806757
内蒙古卫视,http://localhost:8000/hls/-3775030185545032134
宁夏卫视,http://localhost:8000/hls/8319744021153549434
宁夏卫视,http://localhost:8000/hls/-4407315453354836796
宁夏卫视,http://localhost:8000/hls/-5198963707525232335
